  SYNC    include/config/auto.conf.cmd
  AR      kernel/events/built-in.a
  CC      crypto/rsa_helper.o
  CC      crypto/rsa-pkcs1pad.o
  CC      crypto/acompress.o
  CC      crypto/scompress.o
  CC      fs/nfs/pagelist.o
  CC      fs/lockd/xdr.o
  CC      fs/cifs/cifs_debug.o
  CC      crypto/algboss.o
  CC      fs/nfs/read.o
  CC      crypto/testmgr.o
  CC      crypto/crypto_user_base.o
  CC      fs/lockd/clnt4xdr.o
  CC      crypto/cmac.o
  CC      fs/cifs/connect.o
  CC      crypto/hmac.o
  CC      crypto/crypto_null.o
  CC      crypto/md5.o
  CC      fs/lockd/xdr4.o
  CC      crypto/sha1_generic.o
  CC      fs/nfs/symlink.o
  CC      fs/nfs/unlink.o
  CC      crypto/sha256_generic.o
  CC      crypto/sha512_generic.o
  CC      fs/lockd/svc4proc.o
  CC      crypto/gf128mul.o
  CC      fs/nfs/write.o
  CC      crypto/ecb.o
  CC      fs/nfs/namespace.o
  CC      crypto/ctr.o
  CC      crypto/gcm.o
  CC      crypto/ccm.o
  CC      fs/lockd/procfs.o
  CC      fs/cifs/dir.o
  CC      crypto/cryptd.o
  CC      kernel/bpf/inode.o
  AR      fs/lockd/built-in.a
  CC      fs/ntfs/aops.o
  CC      crypto/aes_generic.o
  CC      crypto/deflate.o
  CC      crypto/michael_mic.o
  CC      fs/nfs/mount_clnt.o
  CC      fs/cifs/file.o
  CC      crypto/crc32c_generic.o
  CC      fs/nfs/nfstrace.o
  CC      crypto/crc32_generic.o
  CC      crypto/crct10dif_common.o
  CC      crypto/crct10dif_generic.o
  CC      kernel/bpf/helpers.o
  CC      fs/ntfs/attrib.o
  CC      crypto/lzo.o
  CC      crypto/lzo-rle.o
  CC      fs/nfs/export.o
  CC      crypto/lz4.o
  CC      fs/nfs/sysfs.o
  CC      crypto/rng.o
  CC      crypto/ansi_cprng.o
  CC      crypto/drbg.o
  CC      kernel/bpf/tnum.o
  CC      fs/nfs/fs_context.o
  CC      kernel/bpf/bpf_iter.o
  CC      fs/ntfs/collate.o
  CC      kernel/bpf/map_iter.o
  CC      fs/nfs/nfsroot.o
  CC      crypto/jitterentropy.o
  CC      crypto/jitterentropy-kcapi.o
  CC      kernel/bpf/task_iter.o
  CC      fs/ntfs/compress.o
  CC      crypto/ghash-generic.o
  CC      fs/ntfs/debug.o
  CC      kernel/bpf/prog_iter.o
  CC      fs/nfs/sysctl.o
  CC      crypto/zstd.o
  CC      fs/ntfs/dir.o
  CC      kernel/bpf/hashtab.o
  CC      fs/ntfs/file.o
  CC      kernel/bpf/arraymap.o
  CC      crypto/ecc.o
  CC      fs/nfs/nfs2super.o
  CC      fs/nfs/proc.o
  CC      fs/cifs/inode.o
  CC      fs/ntfs/index.o
  CC      fs/nfs/nfs2xdr.o
  CC      kernel/bpf/percpu_freelist.o
  CC      fs/ntfs/inode.o
  CC      fs/nfs/nfs3super.o
  CC      fs/ntfs/mft.o
  CC      kernel/bpf/bpf_lru_list.o
  CC      kernel/bpf/lpm_trie.o
  CC      crypto/ecdh.o
  CC      kernel/bpf/map_in_map.o
  CC      fs/nfs/nfs3client.o
  CC      fs/nfs/nfs3proc.o
  CC      crypto/ecdh_helper.o
  CC      kernel/bpf/local_storage.o
  CC      fs/cifs/link.o
  CC      crypto/hash_info.o
  CC      fs/cifs/misc.o
  CC      fs/ntfs/mst.o
  CC      crypto/simd.o
  CC      fs/ntfs/namei.o
  CC      fs/ntfs/runlist.o
  CC      kernel/bpf/queue_stack_maps.o
  CC      fs/nfs/nfs3xdr.o
  CC      fs/cifs/netmisc.o
  CC      crypto/rsapubkey.asn1.o
  CC      crypto/rsaprivkey.asn1.o
  CC      fs/ntfs/super.o
  CC      fs/nfs/nfs4proc.o
  AR      crypto/built-in.a
  CC      kernel/bpf/ringbuf.o
  CC      block/partitions/core.o
  CC      fs/cifs/smbencrypt.o
  CC      fs/ntfs/sysctl.o
  CC      fs/ntfs/unistr.o
  CC      kernel/bpf/bpf_local_storage.o
  CC      fs/cifs/transport.o
  CC      fs/nfs/nfs4xdr.o
  CC      fs/cifs/cifs_unicode.o
  CC      fs/ntfs/upcase.o
  CC      block/partitions/msdos.o
  CC      fs/ntfs/bitmap.o
  CC      fs/ntfs/lcnalloc.o
  CC      kernel/bpf/bpf_task_storage.o
  CC      block/partitions/efi.o
  CC      fs/cifs/nterr.o
  CC      fs/ntfs/logfile.o
  CC      fs/cifs/cifsencrypt.o
  CC      fs/ntfs/quota.o
  CC      fs/cifs/readdir.o
  CC      kernel/bpf/disasm.o
  AR      block/partitions/built-in.a
  CC      block/bdev.o
  CC      fs/ntfs/usnjrnl.o
  CC      kernel/bpf/trampoline.o
  CC      kernel/bpf/btf.o
  AR      fs/ntfs/built-in.a
  CC      fs/ntfs3/attrib.o
  CC      fs/cifs/ioctl.o
  CC      fs/cifs/sess.o
  CC      kernel/bpf/dispatcher.o
  CC      block/fops.o
  CC      fs/cifs/export.o
  CC      fs/ntfs3/attrlist.o
  CC      kernel/bpf/devmap.o
  CC      block/bio.o
  CC      fs/cifs/smb1ops.o
  CC      fs/ntfs3/bitfunc.o
  CC      fs/cifs/unc.o
  CC      fs/nfs/nfs4state.o
  CC      fs/nfs/nfs4renewd.o
  CC      kernel/bpf/cpumap.o
  CC      fs/ntfs3/bitmap.o
  CC      fs/cifs/winucase.o
  CC      fs/cifs/smb2ops.o
  CC      kernel/bpf/offload.o
  CC      fs/cifs/smb2maperror.o
  CC      fs/nfs/nfs4super.o
  CC      block/elevator.o
  CC      kernel/bpf/net_namespace.o
  CC      fs/ntfs3/dir.o
  CC      fs/cifs/smb2transport.o
  CC      fs/nfs/nfs4file.o
  CC      fs/ntfs3/fsntfs.o
  CC      kernel/bpf/stackmap.o
  CC      kernel/bpf/cgroup.o
  CC      block/blk-core.o
  CC      fs/nfs/delegation.o
  CC      fs/nfs/nfs4idmap.o
  CC      fs/nfs/callback.o
  CC      kernel/bpf/reuseport_array.o
  CC      fs/ntfs3/frecord.o
  CC      fs/cifs/smb2misc.o
  CC      block/blk-sysfs.o
  CC      kernel/bpf/bpf_struct_ops.o
  CC      block/blk-flush.o
  CC      block/blk-settings.o
  CC      fs/nfs/callback_xdr.o
  CC      fs/ntfs3/file.o
  CC      fs/ntfs3/fslog.o
  CC      fs/cifs/smb2pdu.o
  AR      kernel/bpf/built-in.a
  CC      kernel/fork.o
  CC      block/blk-ioc.o
  CC      block/blk-map.o
  CC      block/blk-exec.o
  CC      fs/nfs/callback_proc.o
  CC      fs/ntfs3/inode.o
  CC      block/blk-merge.o
  CC      block/blk-timeout.o
  CC      block/blk-lib.o
  CC      fs/nfs/nfs4namespace.o
  CC      fs/ntfs3/index.o
  CC      fs/ntfs3/lznt.o
  CC      kernel/exec_domain.o
  CC      block/blk-mq.o
  CC      fs/ntfs3/namei.o
  CC      fs/ntfs3/record.o
  CC      fs/cifs/smb2inode.o
  CC      block/blk-mq-tag.o
  CC      fs/nfs/nfs4getroot.o
  CC      kernel/panic.o
  CC      fs/ntfs3/run.o
  CC      fs/ntfs3/super.o
  CC      fs/ntfs3/upcase.o
  CC      fs/nfs/nfs4client.o
  CC      fs/cifs/smb2file.o
  CC      kernel/cpu.o
  CC      fs/ntfs3/xattr.o
  CC      block/blk-stat.o
  CC      block/blk-mq-sysfs.o
  CC      block/blk-mq-cpumap.o
  CC      block/blk-mq-sched.o
  AR      fs/ntfs3/built-in.a
  CC      fs/autofs/init.o
  CC      fs/cifs/cifsacl.o
  CC      block/ioctl.o
  CC      fs/autofs/inode.o
  CC      block/genhd.o
  CC      block/ioprio.o
  CC      fs/nfs/nfs4session.o
  CC      fs/autofs/root.o
  CC      kernel/exit.o
  CC      block/badblocks.o
  CC      fs/cifs/fs_context.o
  CC      block/blk-rq-qos.o
  CC      block/disk-events.o
  CC      fs/autofs/symlink.o
  CC      block/bsg.o
  CC      fs/autofs/waitq.o
  CC      block/bsg-lib.o
  CC      block/blk-cgroup.o
  CC      fs/autofs/expire.o
  CC      fs/nfs/dns_resolve.o
  CC      block/mq-deadline.o
  CC      fs/cifs/dns_resolve.o
  CC      block/kyber-iosched.o
  CC      fs/autofs/dev-ioctl.o
  CC      kernel/softirq.o
  CC      block/bio-integrity.o
  CC      fs/nfs/nfs4trace.o
  AR      fs/autofs/built-in.a
  CC      fs/nfs/nfs4sysctl.o
  ASN.1   fs/cifs/cifs_spnego_negtokeninit.asn1.[ch]
  CC      fs/cifs/cifs_spnego_negtokeninit.asn1.o
  CC      fs/cifs/asn1.o
  CC      block/blk-integrity.o
  CC      block/t10-pi.o
  CC      block/blk-mq-pci.o
  CC      fs/nfs/pnfs.o
  CC      block/blk-mq-virtio.o
  CC      kernel/resource.o
  CC      block/blk-mq-debugfs.o
  AR      fs/cifs/built-in.a
  CC      fs/udf/balloc.o
  CC      block/blk-pm.o
  CC      block/holder.o
  CC      fs/udf/dir.o
  CC      kernel/sysctl.o
  CC      fs/udf/file.o
  CC      kernel/capability.o
  CC      fs/udf/ialloc.o
  CC      fs/udf/inode.o
  CC      fs/udf/lowlevel.o
  AR      block/built-in.a
  CC      drivers/irqchip/irqchip.o
  CC      drivers/bus/brcmstb_gisb.o
  CC      fs/udf/namei.o
  CC      fs/udf/partition.o
  CC      drivers/bus/simple-pm-bus.o
  CC      fs/nfs/pnfs_dev.o
  CC      drivers/irqchip/irq-gic.o
  CC      fs/udf/super.o
  CC      drivers/bus/vexpress-config.o
  CC      fs/udf/truncate.o
  CC      fs/udf/symlink.o
  CC      fs/nfs/pnfs_nfs.o
  CC      kernel/ptrace.o
  CC      drivers/irqchip/irq-gic-common.o
  CC      fs/udf/directory.o
  CC      fs/nfs/nfs42proc.o
  AR      drivers/bus/built-in.a
  AR      drivers/phy/allwinner/built-in.a
  AR      drivers/phy/amlogic/built-in.a
  AR      drivers/phy/broadcom/built-in.a
  CC      drivers/phy/cadence/phy-cadence-salvo.o
  CC      drivers/irqchip/irq-gic-v2m.o
  CC      fs/udf/misc.o
  CC      fs/udf/udftime.o
  AR      drivers/phy/cadence/built-in.a
  CC      drivers/phy/freescale/phy-fsl-imx8mp-lvds.o
  CC      fs/nfs/nfs42xattr.o
  CC      drivers/irqchip/irq-gic-v3.o
  CC      fs/udf/unicode.o
  CC      drivers/irqchip/irq-gic-v3-mbi.o
  CC      kernel/user.o
  CC      drivers/phy/freescale/phy-fsl-imx8mq-usb.o
  AR      fs/udf/built-in.a
  CC      fs/9p/vfs_super.o
  CC      fs/pstore/inode.o
  CC      fs/debugfs/inode.o
  CC      kernel/signal.o
  CC      fs/debugfs/file.o
  CC      drivers/phy/freescale/phy-fsl-imx93-mipi-dphy.o
  AR      fs/nfs/built-in.a
  CC      fs/pstore/platform.o
  CC      fs/efivarfs/inode.o
  CC      fs/9p/vfs_inode.o
  CC      drivers/irqchip/irq-gic-v3-its.o
  CC      fs/efivarfs/file.o
  CC      fs/efivarfs/super.o
  CC      drivers/phy/freescale/phy-fsl-imx8-mipi-dphy.o
  AR      fs/pstore/built-in.a
  AR      fs/debugfs/built-in.a
  CC      fs/open.o
  CC      fs/read_write.o
  CC      fs/file_table.o
  CC      fs/9p/vfs_inode_dotl.o
  AR      fs/efivarfs/built-in.a
  CC      fs/super.o
  CC      drivers/phy/freescale/phy-fsl-samsung-hdmi.o
  CC      fs/9p/vfs_addr.o
  CC      drivers/phy/freescale/phy-fsl-imx8-pcie.o
  CC      fs/char_dev.o
  CC      fs/9p/vfs_file.o
  CC      fs/stat.o
  AR      drivers/phy/freescale/built-in.a
  AR      drivers/phy/hisilicon/built-in.a
  CC      kernel/sys.o
  CC      drivers/irqchip/irq-gic-v3-its-platform-msi.o
  AR      drivers/phy/ingenic/built-in.a
  AR      drivers/phy/intel/built-in.a
  CC      kernel/umh.o
  AR      drivers/phy/lantiq/built-in.a
  AR      drivers/phy/marvell/built-in.a
  AR      drivers/phy/mediatek/built-in.a
  CC      fs/exec.o
  AR      drivers/phy/microchip/built-in.a
  AR      drivers/phy/motorola/built-in.a
  AR      drivers/phy/mscc/built-in.a
  CC      drivers/phy/qualcomm/phy-qcom-usb-hs.o
  CC      fs/9p/vfs_dir.o
  CC      drivers/irqchip/irq-gic-v4.o
  CC      fs/pipe.o
  AR      drivers/phy/qualcomm/built-in.a
  AR      drivers/phy/ralink/built-in.a
  AR      drivers/phy/renesas/built-in.a
  AR      drivers/phy/rockchip/built-in.a
  CC      drivers/phy/samsung/phy-samsung-usb2.o
  CC      drivers/irqchip/irq-gic-v3-its-pci-msi.o
  CC      fs/9p/vfs_dentry.o
  CC      fs/namei.o
  CC      kernel/workqueue.o
  AR      drivers/phy/samsung/built-in.a
  AR      drivers/phy/socionext/built-in.a
  AR      drivers/phy/st/built-in.a
  AR      drivers/phy/tegra/built-in.a
  CC      drivers/irqchip/irq-partition-percpu.o
  AR      drivers/phy/ti/built-in.a
  AR      drivers/phy/xilinx/built-in.a
  CC      drivers/phy/phy-core.o
  CC      fs/9p/v9fs.o
fs/namei.c: In function ‘do_mkdirat’:
fs/namei.c:4135:23: warning: assignment to ‘struct filename *’ from ‘int’ makes pointer from integer without a cast [-Wint-conversion]
 4135 |                 name1 = filename_parentat(dfd, name, 0,
      |                       ^
  CC      fs/fcntl.o
  CC      kernel/pid.o
  CC      drivers/irqchip/irq-imx-gpcv2.o
  CC      fs/ioctl.o
  CC      fs/9p/fid.o
  CC      drivers/irqchip/irq-imx-irqsteer.o
  CC      drivers/phy/phy-core-mipi-dphy.o
  CC      fs/9p/xattr.o
  CC      fs/readdir.o
  CC      drivers/irqchip/irq-imx-intmux.o
  AR      fs/9p/built-in.a
  CC      fs/select.o
  CC      fs/dcache.o
  CC      kernel/task_work.o
  AR      drivers/irqchip/built-in.a
  AR      drivers/pinctrl/actions/built-in.a
  AR      drivers/pinctrl/bcm/built-in.a
  CC      drivers/pinctrl/freescale/pinctrl-imx.o
  CC      kernel/extable.o
  CC      drivers/phy/phy-xgene.o
  CC      kernel/params.o
  CC      fs/inode.o
  CC      fs/attr.o
  CC      kernel/kthread.o
  CC      drivers/pinctrl/freescale/pinctrl-scu.o
  CC      drivers/phy/phy-mixel-lvds.o
  CC      fs/bad_inode.o
  CC      kernel/sys_ni.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8mm.o
  CC      fs/file.o
  CC      fs/filesystems.o
  CC      kernel/nsproxy.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8mn.o
  CC      fs/namespace.o
  CC      kernel/notifier.o
  CC      drivers/phy/phy-mixel-lvds-combo.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8mp.o
  CC      fs/seq_file.o
  CC      kernel/ksysfs.o
  CC      fs/xattr.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8mq.o
  CC      kernel/cred.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8qm.o
  AR      drivers/phy/built-in.a
  CC      drivers/gpio/gpiolib.o
  CC      kernel/reboot.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8qxp.o
  CC      kernel/async.o
  CC      kernel/range.o
  CC      kernel/smpboot.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8dxl.o
  CC      fs/libfs.o
  CC      kernel/ucount.o
  CC      kernel/regset.o
  CC      drivers/pinctrl/freescale/pinctrl-imx8ulp.o
  AR      drivers/pinctrl/mvebu/built-in.a
  CC      kernel/kmod.o
  CC      drivers/pinctrl/freescale/pinctrl-imx93.o
  CC      kernel/groups.o
  CC      kernel/kcmp.o
  CC      drivers/pinctrl/freescale/pinctrl-s32v-core.o
  CC      kernel/freezer.o
  CC      kernel/profile.o
  CC      kernel/futex.o
  AR      drivers/pinctrl/freescale/built-in.a
  AR      drivers/pinctrl/nomadik/built-in.a
  AR      drivers/pinctrl/sprd/built-in.a
  AR      drivers/pinctrl/ti/built-in.a
  AR      drivers/pinctrl/mediatek/built-in.a
  AR      drivers/pinctrl/cirrus/built-in.a
  CC      drivers/pinctrl/core.o
  CC      kernel/smp.o
  CC      fs/fs-writeback.o
  CC      drivers/gpio/gpiolib-devres.o
  CC      drivers/gpio/gpiolib-legacy.o
  CC      kernel/uid16.o
  CC      drivers/pwm/core.o
  CC      drivers/gpio/gpiolib-of.o
  CC      drivers/gpio/gpiolib-cdev.o
  CC      kernel/module.o
  CC      kernel/kallsyms.o
  CC      drivers/pinctrl/pinctrl-utils.o
  CC      kernel/acct.o
  CC      drivers/pwm/sysfs.o
  CC      drivers/gpio/gpiolib-acpi.o
  CC      fs/pnode.o
  CC      drivers/pinctrl/pinmux.o
  CC      kernel/crash_core.o
  CC      drivers/pwm/pwm-adp5585.o
  CC      drivers/gpio/gpio-mmio.o
  CC      kernel/kexec_core.o
  CC      fs/splice.o
  CC      drivers/pwm/pwm-imx27.o
  CC      drivers/pinctrl/pinconf.o
  CC      kernel/kexec.o
  CC      drivers/pwm/pwm-rpmsg-imx.o
  CC      drivers/gpio/gpio-adp5585.o
  CC      drivers/gpio/gpio-dwapb.o
  CC      drivers/pinctrl/devicetree.o
  CC      kernel/kexec_file.o
  CC      drivers/gpio/gpio-max732x.o
  AR      drivers/pwm/built-in.a
  CC      drivers/auralic/auralic_filelist.o
  CC      drivers/gpio/gpio-max77620.o
  CC      kernel/compat.o
drivers/auralic/auralic_filelist.c: In function ‘filelist_process_fn’:
drivers/auralic/auralic_filelist.c:539:25: warning: ISO C90 forbids mixed declarations and code [-Wdeclaration-after-statement]
  539 |                         loff_t pos = 0;
      |                         ^~~~~~
drivers/auralic/auralic_filelist.c:555:29: warning: ISO C90 forbids mixed declarations and code [-Wdeclaration-after-statement]
  555 |                             loff_t pos = 0;
      |                             ^~~~~~
drivers/auralic/auralic_filelist.c:555:36: warning: unused variable ‘pos’ [-Wunused-variable]
  555 |                             loff_t pos = 0;
      |                                    ^~~
drivers/auralic/auralic_filelist.c:539:32: warning: unused variable ‘pos’ [-Wunused-variable]
  539 |                         loff_t pos = 0;
      |                                ^~~
drivers/auralic/auralic_filelist.c: In function ‘filelist_exit’:
drivers/auralic/auralic_filelist.c:801:5: warning: this ‘if’ clause does not guard... [-Wmisleading-indentation]
  801 |     if (filelist_task)
      |     ^~
drivers/auralic/auralic_filelist.c:804:9: note: ...this statement, but the latter is misleadingly indented as if it were guarded by the ‘if’
  804 |         remove_proc_entry(FILELIST_PROC_NAME, NULL);
      |         ^~~~~~~~~~~~~~~~~
  CC      drivers/gpio/gpio-mb86s7x.o
  CC      fs/sync.o
  CC      drivers/gpio/gpio-mxc.o
  CC      drivers/pinctrl/pinconf-generic.o
  CC      kernel/utsname.o
  CC      fs/utimes.o
  AR      drivers/auralic/built-in.a
  CC      drivers/pci/pcie/portdrv_core.o
  CC      kernel/user_namespace.o
  CC      drivers/gpio/gpio-pca953x.o
  CC      drivers/gpio/gpio-pl061.o
  CC      fs/d_path.o
  CC      fs/stack.o
  CC      drivers/pinctrl/pinctrl-max77620.o
  CC      fs/fs_struct.o
  CC      drivers/pci/pcie/portdrv_pci.o
  CC      fs/statfs.o
  CC      drivers/pinctrl/pinctrl-single.o
  CC      drivers/gpio/gpio-scu.o
  CC      kernel/pid_namespace.o
  CC      drivers/gpio/gpio-imx-rpmsg.o
  CC      drivers/pci/pcie/err.o
  CC      fs/fs_pin.o
  CC      drivers/gpio/gpio-xgene.o
  CC      fs/nsfs.o
  CC      fs/fs_types.o
  CC      fs/fs_context.o
  CC      drivers/pci/pcie/rcec.o
  AR      drivers/pinctrl/built-in.a
  CC      drivers/video/console/dummycon.o
  AR      drivers/gpio/built-in.a
  CC      drivers/video/backlight/backlight.o
  AR      drivers/idle/built-in.a
  CC      fs/fs_parser.o
  UPD     kernel/config_data
  CC      kernel/stop_machine.o
  CC      fs/fsopen.o
  CC      fs/init.o
  CC      drivers/pci/pcie/aspm.o
  AR      drivers/video/console/built-in.a
  CC      drivers/video/fbdev/core/fb_cmdline.o
  CC      drivers/video/fbdev/core/fb_notify.o
  CC      fs/kernel_read_file.o
  CC      fs/remap_range.o
  CC      fs/buffer.o
  CC      kernel/audit.o
  CC      drivers/video/backlight/gpio_backlight.o
  CC      fs/direct-io.o
  CC      drivers/pci/pcie/pme.o
  CC      fs/mpage.o
  CC      drivers/video/fbdev/core/fbmem.o
  CC      drivers/video/backlight/pwm_bl.o
  CC      fs/proc_namespace.o
  AR      drivers/pci/pcie/built-in.a
  CC      drivers/pci/hotplug/pci_hotplug_core.o
  CC      fs/eventpoll.o
  AR      drivers/video/backlight/built-in.a
  CC      drivers/char/ipmi/ipmi_dmi.o
  CC      drivers/pci/hotplug/acpi_pcihp.o
  CC      fs/anon_inodes.o
  CC      kernel/auditfilter.o
  CC      drivers/pci/hotplug/acpiphp_core.o
  CC      drivers/char/ipmi/ipmi_plat_data.o
  CC      drivers/video/fbdev/core/fbmon.o
  CC      fs/signalfd.o
  CC      fs/timerfd.o
  CC      drivers/pci/hotplug/acpiphp_glue.o
  CC      fs/eventfd.o
  CC      fs/aio.o
  CC      fs/io_uring.o
  AR      drivers/char/ipmi/built-in.a
  CC      drivers/acpi/acpica/dsargs.o
  CC      kernel/auditsc.o
  CC      drivers/acpi/numa/srat.o
  AR      drivers/pci/hotplug/built-in.a
  CC      drivers/pci/controller/dwc/pcie-designware.o
  CC      drivers/acpi/acpica/dscontrol.o
  CC      fs/io-wq.o
  CC      drivers/acpi/acpica/dsdebug.o
  CC      drivers/video/fbdev/core/fbcmap.o
  CC      drivers/acpi/acpica/dsfield.o
  AR      drivers/acpi/numa/built-in.a
  CC      drivers/video/fbdev/core/fbsysfs.o
  CC      drivers/acpi/acpica/dsinit.o
  CC      drivers/pci/controller/dwc/pcie-designware-host.o
  CC      drivers/acpi/acpica/dsmethod.o
  CC      fs/locks.o
  CC      fs/binfmt_script.o
  CC      kernel/audit_watch.o
  CC      drivers/acpi/acpica/dsmthdat.o
  CC      drivers/acpi/acpica/dsobject.o
  CC      fs/binfmt_elf.o
  CC      drivers/video/fbdev/core/modedb.o
  CC      drivers/video/fbdev/core/fbcvt.o
  CC      drivers/acpi/acpica/dsopcode.o
  CC      drivers/pci/controller/dwc/pci-imx6.o
  CC      kernel/audit_fsnotify.o
  CC      drivers/acpi/acpica/dspkginit.o
  CC      drivers/video/fbdev/core/fb_defio.o
  CC      drivers/acpi/acpica/dsutils.o
  CC      kernel/audit_tree.o
  CC      fs/compat_binfmt_elf.o
  CC      drivers/acpi/acpica/dswexec.o
  CC      drivers/video/fbdev/core/fbcon.o
  CC      fs/mbcache.o
  CC      drivers/pci/controller/dwc/pcie-hisi.o
  CC      drivers/acpi/acpica/dswload.o
  CC      drivers/video/fbdev/core/bitblit.o
  CC      drivers/acpi/acpica/dswload2.o
  CC      drivers/pci/controller/dwc/pcie-al.o
  CC      kernel/seccomp.o
  CC      fs/posix_acl.o
  CC      fs/coredump.o
  CC      drivers/acpi/acpica/dswscope.o
drivers/video/fbdev/core/bitblit.c:241:13: warning: ‘bit_cursor’ defined but not used [-Wunused-function]
  241 | static void bit_cursor(struct vc_data *vc, struct fb_info *info, int mode,
      |             ^~~~~~~~~~
  CC      drivers/pci/controller/dwc/pcie-tegra194-acpi.o
  CC      drivers/acpi/acpica/dswstate.o
  CC      drivers/video/fbdev/core/softcursor.o
  CC      drivers/acpi/acpica/evevent.o
  AR      drivers/pci/controller/dwc/built-in.a
  AR      drivers/pci/controller/mobiveil/built-in.a
  CC      drivers/pci/controller/pci-host-common.o
  CC      drivers/acpi/acpica/evgpe.o
  CC      drivers/video/fbdev/core/cfbfillrect.o
  CC      kernel/relay.o
  CC      fs/drop_caches.o
  CC      drivers/acpi/acpica/evgpeblk.o
  CC      drivers/video/fbdev/core/cfbcopyarea.o
  CC      kernel/utsname_sysctl.o
  CC      drivers/acpi/acpica/evgpeinit.o
  CC      kernel/irq_work.o
  CC      fs/fhandle.o
  CC      drivers/pci/controller/pci-host-generic.o
  CC      drivers/video/fbdev/core/cfbimgblt.o
  CC      drivers/acpi/acpica/evgpeutil.o
  CC      drivers/acpi/acpica/evglock.o
  CC      drivers/pci/controller/pci-thunder-ecam.o
  CC      drivers/video/fbdev/core/sysfillrect.o
  CC      drivers/video/fbdev/core/syscopyarea.o
  AR      fs/built-in.a
  CC      sound/core/sound.o
  CC      drivers/acpi/acpica/evhandler.o
  CC      kernel/cpu_pm.o
  CC      sound/core/init.o
  CC      drivers/acpi/acpica/evmisc.o
  CC      drivers/pci/controller/pci-thunder-pem.o
  CC      drivers/acpi/acpica/evregion.o
  CC      drivers/video/fbdev/core/sysimgblt.o
  CC      kernel/crash_dump.o
  CC      sound/core/memory.o
  CC      drivers/pci/controller/pci-xgene.o
  CC      drivers/acpi/acpica/evrgnini.o
  CC      drivers/video/fbdev/core/fb_sys_fops.o
  CC      kernel/jump_label.o
  CC      sound/core/control.o
  CC      sound/core/misc.o
  CC      drivers/acpi/acpica/evsci.o
  CC      kernel/iomem.o
  AR      drivers/pci/controller/built-in.a
  AR      drivers/pci/switch/built-in.a
  CC      drivers/pci/access.o
  CC      kernel/rseq.o
  CC      drivers/acpi/acpica/evxface.o
  GZIP    kernel/config_data.gz
  CC      drivers/acpi/acpica/evxfevnt.o
  AR      drivers/video/fbdev/core/built-in.a
  CC      drivers/acpi/acpica/evxfgpe.o
  CC      drivers/video/fbdev/mxc/mxc_dispdrv.o
  CC      drivers/video/hdmi.o
  CC      drivers/acpi/acpica/evxfregn.o
  CC      kernel/configs.o
  CC      drivers/acpi/acpica/exconcat.o
  CC      drivers/acpi/acpica/exconfig.o
  CC      drivers/pci/bus.o
  AR      kernel/built-in.a
  CC      net/core/sock.o
  CC      drivers/acpi/acpica/exconvrt.o
  CC      net/llc/llc_core.o
  CC      net/llc/llc_input.o
  CC      drivers/acpi/acpica/excreate.o
  CC      drivers/video/display_timing.o
  CC      sound/core/device.o
  CC      drivers/video/fbdev/mxc/mxc_edid.o
  CC      drivers/acpi/acpica/exdebug.o
  CC      drivers/video/videomode.o
  CC      drivers/pci/probe.o
  CC      drivers/video/of_display_timing.o
  CC      drivers/acpi/acpica/exdump.o
  CC      sound/core/info.o
  CC      net/llc/llc_output.o
  CC      net/llc/llc_if.o
  CC      drivers/acpi/acpica/exfield.o
  CC      drivers/video/of_videomode.o
  CC      drivers/acpi/acpica/exfldio.o
  CC      drivers/video/fbdev/mxc/mxc_epdc_v2_fb.o
  CC      net/llc/llc_c_ev.o
  CC      drivers/acpi/acpica/exmisc.o
  CC      drivers/acpi/acpica/exmutex.o
  CC      sound/core/ctljack.o
  CC      drivers/acpi/acpica/exnames.o
  CC      net/llc/llc_c_ac.o
  CC      drivers/acpi/acpica/exoparg1.o
  CC      sound/core/jack.o
  CC      drivers/pci/host-bridge.o
  CC      drivers/acpi/acpica/exoparg2.o
  CC      drivers/acpi/acpica/exoparg3.o
  CC      net/llc/llc_conn.o
  CC      drivers/acpi/acpica/exoparg6.o
  CC      drivers/acpi/acpica/exprep.o
  CC      net/core/request_sock.o
  CC      drivers/acpi/acpica/exregion.o
  CC      drivers/acpi/acpica/exresnte.o
  CC      drivers/pci/remove.o
  CC      sound/core/timer.o
  CC      net/llc/llc_c_st.o
  CC      drivers/acpi/acpica/exresolv.o
  CC      drivers/acpi/acpica/exresop.o
  CC      net/core/skbuff.o
  CC      drivers/acpi/acpica/exserial.o
  CC      drivers/acpi/acpica/exstore.o
  CC      net/llc/llc_pdu.o
  CC      net/llc/llc_sap.o
  CC      drivers/acpi/acpica/exstoren.o
  CC      drivers/pci/pci.o
  CC      drivers/acpi/acpica/exstorob.o
  AR      drivers/video/fbdev/mxc/built-in.a
  AR      drivers/video/fbdev/omap2/omapfb/dss/built-in.a
  AR      drivers/video/fbdev/omap2/omapfb/displays/built-in.a
